,date,DJI,PPO
0,2022-09-01,1000000.0,1000000.0
1,2022-09-02,989323.4778416479,999891.602905632
2,2022-09-06,983854.1710690472,999829.5116731223
3,2022-09-07,997626.3700953728,1000388.2508490313
4,2022-09-08,1003730.6685236819,1000577.0009657553
5,2022-09-09,1015645.8316147983,1001267.7982760465
6,2022-09-12,1022899.6179499776,1001908.9206316832
7,2022-09-13,982580.1774139046,998975.9424857786
8,2022-09-14,983531.6160383393,999359.6175603732
9,2022-09-15,978058.1755268219,998303.4823050994
10,2022-09-16,973654.6330236257,997716.5262816293
11,2022-09-19,979885.9051040385,998638.4558309229
12,2022-09-20,969984.304748611,997476.2534262751
13,2022-09-21,953480.506366976,995575.4462211607
14,2022-09-22,950097.3187026945,994129.8514702565
15,2022-09-23,934736.4682827776,992121.2194904133
16,2022-09-26,924324.6905078928,991146.1001227072
17,2022-09-27,920350.131388115,990860.3387945631
18,2022-09-28,937684.6878968505,993389.3174867303
19,2022-09-29,923212.7147392533,989171.7026068341
20,2022-09-30,907414.9836436589,986266.6380560832
21,2022-10-03,931592.7289876961,989599.4883238235
22,2022-10-04,957667.3669138128,995062.3551763416
23,2022-10-05,956326.3696696593,994430.7094795167
24,2022-10-06,945367.1491274695,992187.6890243508
25,2022-10-07,925461.2219196504,985667.2727585599
26,2022-10-10,922494.7398172283,984029.534074392
27,2022-10-11,923641.6981226717,982391.2676050813
28,2022-10-12,922746.4660079873,981497.772167732
29,2022-10-13,948898.2259288218,986568.2160132005
30,2022-10-14,936139.6567034716,980283.4761770932
31,2022-10-17,953544.9803545601,987227.9156782585
32,2022-10-18,964221.5025129123,990383.1048220803
33,2022-10-19,961062.8940972491,988300.5794776361
34,2022-10-20,958212.8970556488,985253.5206163405
35,2022-10-21,981872.2591999908,992338.0013982409
36,2022-10-24,995046.7936160511,995608.6100294244
37,2022-10-25,1005696.1688322625,1001318.618188303
38,2022-10-26,1005771.0080159368,998443.7777499426
39,2022-10-27,1011904.6744998345,997223.6097233084
40,2022-10-28,1038076.979720062,1005171.3024794844
41,2022-10-31,1034006.6659316428,1002245.0845038069
42,2022-11-01,1031487.4297009881,1000204.7477028845
43,2022-11-02,1015521.017378547,989984.2770411375
44,2022-11-03,1010892.8956267325,985689.298065931
45,2022-11-04,1023590.8161154368,990274.0445456407
46,2022-11-07,1036977.6519585563,992195.5237772004
47,2022-11-08,1047523.0050282924,994115.2637430131
48,2022-11-09,1027088.3294246878,985515.890539522
49,2022-11-10,1065040.5566060944,1010191.2111284465
50,2022-11-11,1066066.8344142032,1014878.0582043324
51,2022-11-14,1059396.460544665,1010485.0597906285
52,2022-11-15,1061172.487536623,1015078.6497913039
53,2022-11-16,1059937.5484596053,1010963.8439785179
54,2022-11-17,1059700.382901449,1008806.8856918548
55,2022-11-18,1065998.3500828939,1011222.7079065498
56,2022-11-21,1064563.8809811424,1008149.2272620146
57,2022-11-22,1077130.694078826,1014519.1729274809
58,2022-11-23,1080161.8969592154,1019070.0293926032
59,2022-11-25,1084994.176055447,1018752.0874252035
60,2022-11-28,1069276.3433463802,1011695.130463301
61,2022-11-29,1069373.3319669373,1009114.4939382765
62,2022-11-30,1092662.076653463,1027754.9931766111
63,2022-12-01,1086509.8391932372,1027840.1545843834
64,2022-12-02,1087611.2646729995,1026669.368746138
65,2022-12-05,1072360.7295543267,1016234.02601779
66,2022-12-06,1061280.458329228,1008280.4327144339
67,2022-12-07,1061330.433381805,1006454.8810506689
68,2022-12-08,1067128.8968278614,1012730.6089450438
69,2022-12-09,1057493.5832957954,1009002.1760771391
70,2022-12-12,1074190.9270353743,1017595.4943825323
71,2022-12-13,1077463.6143056243,1020827.1076554968
72,2022-12-14,1072968.821058278,1017269.1901574004
73,2022-12-15,1048830.5004779403,1001559.779573332
