time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/explained_variance,train/std,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate
3006,0,1,-0.0037454178,2048,,,,,,,,,,,
2515,1,2,-1.152239,4096,0.0,0.9925336241722107,0.0050247805,-1.4152843251824379,0.03583984375,-0.003607035473396536,0.09925424307584763,10,0.25178785203024745,0.2,0.0001
2489,2,3,1.1034575,6144,-0.0877983570098877,0.9919776320457458,0.00497355,-1.4110372073948383,0.007763671875,-0.001629220525501296,3.6540815830230713,20,7.618868787586689,0.2,0.0001
2479,3,4,0.10650087,8192,0.009776771068572998,0.9918648600578308,0.00023016849,-1.4108567088842392,0.0,-4.431392007973045e-05,17.275442123413086,30,33.649082785844804,0.2,0.0001
2459,4,5,1.0747552,10240,0.07330828905105591,0.9920871257781982,6.0185732e-05,-1.4108469866216182,0.0,-0.00019079531630268322,10.087444305419922,40,18.65679042339325,0.2,0.0001
2462,4,6,-1.4822861,12288,0.03397172689437866,0.9920863509178162,0.00028597383,-1.4109822273254395,0.0,-0.0001405001530656591,26.70697784423828,50,66.61199313402176,0.2,0.0001
2458,5,7,-1.9122432,14336,-0.013475179672241211,0.992304265499115,0.00035325228,-1.4110851801931859,0.0,-0.0006405967054888606,9.490224838256836,60,16.076697951555253,0.2,0.0001
2454,6,8,-0.00047119943,16384,0.060146331787109375,0.992012083530426,0.00037321507,-1.4111092574894428,0.0,-0.0002834213402820751,28.179533004760742,70,63.26442055702209,0.2,0.0001
2454,7,9,-3.051646,18432,-0.004790544509887695,0.9917506575584412,0.00021744845,-1.4108017921447753,0.0,-0.000301497001782991,29.356054306030273,80,66.32768626213074,0.2,0.0001
2454,8,10,0.096256554,20480,0.1516658067703247,0.9884059429168701,0.0023582107,-1.4094921879470348,0.01220703125,-0.0025652577547589316,5.758241653442383,90,9.55055504143238,0.2,0.0001
2455,9,11,-8.08375,22528,0.05753117799758911,0.9881656765937805,0.0013559437,-1.4070821583271027,0.000439453125,-0.0008975617092801258,23.295576095581055,100,63.419630515575406,0.2,0.0001
2454,10,12,0.7561772,24576,0.0005859136581420898,0.9868374466896057,0.00012582194,-1.4063871279358864,0.0,-0.000637238585477462,28.526016235351562,110,56.415084266662596,0.2,0.0001
2455,10,13,0.46557474,26624,0.13757801055908203,0.9876371026039124,0.0014637655,-1.4059626787900925,0.000244140625,-0.00035516507778083907,12.527117729187012,120,26.267192924022673,0.2,0.0001
2453,11,14,-5.273615,28672,0.06812787055969238,0.9876013994216919,0.0008210355,-1.406509067863226,0.000537109375,-0.0005244816551567055,25.10980987548828,130,70.44918332099914,0.2,0.0001
2453,12,15,0.11829964,30720,0.0009863972663879395,0.990366518497467,0.0035729846,-1.407858418673277,0.018115234375,-0.001820415971451439,8.583636283874512,140,18.376612609624864,0.2,0.0001
2454,13,16,-0.09290001,32768,0.0992622971534729,0.9893215894699097,0.00043129147,-1.408885719627142,9.765625e-05,-0.00019606287823989988,28.14911460876465,150,71.08458428382873,0.2,0.0001
2449,14,17,-0.73048687,34816,0.011532247066497803,0.9868577718734741,0.0002866675,-1.4070016406476498,0.0,-0.0004935617223964072,27.028743743896484,160,75.4880998134613,0.2,0.0001
2430,15,18,-0.054482676,36864,0.30736005306243896,0.9862145185470581,0.0050187455,-1.4053676694631576,0.032373046875,-0.0029437581775709986,5.699661731719971,170,10.880510360002518,0.2,0.0001
2422,16,19,-2.1936069,38912,0.12265586853027344,0.9867875576019287,0.0037927793,-1.4052417673170567,0.013671875,-0.0012221672805026174,49.74592590332031,180,66.53326979875564,0.2,0.0001
2423,16,20,0.99493587,40960,0.004039585590362549,0.9853260517120361,0.0007993274,-1.405080461502075,0.000634765625,-2.7586036594584584e-05,18.61133575439453,190,48.90608489513397,0.2,0.0001
2381,18,21,0.019087976,43008,0.23627567291259766,0.9841943979263306,0.0041151647,-1.4036723494529724,0.00849609375,-0.0012803455931134522,17.266328811645508,200,25.55035388469696,0.2,0.0001
2299,19,22,-0.3283057,45056,0.10816729068756104,0.98480224609375,0.00043343575,-1.4033860862255096,0.0,-0.0006899928819620981,41.881710052490234,210,88.42249667644501,0.2,0.0001
2012,23,23,2.4881892,47104,0.0016881823539733887,0.984100878238678,0.0014344645,-1.4031665481626987,0.003759765625,-0.0007113110536010936,10.139068603515625,220,21.67388010621071,0.2,0.0001
1910,25,24,0.29322445,49152,0.135938823223114,0.985231339931488,0.00078210974,-1.403407087177038,0.001171875,-0.00013677520182682202,38.67125701904297,230,77.09371557235718,0.2,0.0001
1891,27,25,1.4616293,51200,0.036308348178863525,0.987506628036499,0.004241721,-1.4054612129926682,0.014990234375,-0.0024953026790171863,32.21253967285156,240,86.75832135677338,0.2,0.0001
