time/iterations,time/fps,train/reward,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss
1,2971,-0.019984351,2048,0,,,,,,,,,,,
2,2636,0.32882264,4096,1,0.08742979010567069,0.044482421875,-1.4302091024816037,0.005491367,0.02986931800842285,1.0205918550491333,0.00025,10,0.2,-0.047752004116773605,-0.004059818363748491
3,2535,-0.024283417,6144,2,0.24135217713192106,0.0162109375,-1.4421787686645984,0.0032526804,0.028313100337982178,1.0266129970550537,0.00025,20,0.2,0.06762802600860596,-0.001536250812932849
4,2490,0.007859311,8192,3,0.3276238119229674,0.006005859375,-1.446719217300415,0.002063235,0.21703273057937622,1.0300068855285645,0.00025,30,0.2,0.05347520112991333,-0.0012337228516116738
5,2465,0.47299412,10240,4,0.044902664853725585,0.03828125,-1.4591665223240853,0.005798374,0.49270564317703247,1.0497734546661377,0.00025,40,0.2,-0.049840543419122696,-0.0033239029828109777
6,2448,-0.09227801,12288,5,0.16845991960726678,0.009423828125,-1.4800729155540466,0.0016573368,0.42640817165374756,1.0739985704421997,0.00025,50,0.2,0.0270027294754982,-0.0017825495160650462
7,2437,0.19162652,14336,5,0.28459945498034356,0.00908203125,-1.4964749068021774,0.0022547424,0.2683725357055664,1.0861916542053223,0.00025,60,0.2,0.10223782807588577,-0.0016949457785813138
8,2429,0.7038277,16384,6,0.30751802353188396,0.024169921875,-1.5072308748960495,0.004166243,0.5223405957221985,1.096777081489563,0.00025,70,0.2,0.06943585723638535,-0.0031791504807188176
9,2421,-0.27737963,18432,7,0.6901768617331981,0.012890625,-1.5155195586383343,0.0024013608,0.42686259746551514,1.105604887008667,0.00025,80,0.2,0.2800898253917694,-0.0026372730382718144
10,2416,-0.31589934,20480,8,1.1727392952889204,0.021484375,-1.5209467813372612,0.0038525339,0.4252736568450928,1.1089304685592651,0.00025,90,0.2,0.4607933759689331,-0.002796631123055704
11,2412,-0.006625402,22528,9,2.1521222591400146,0.00322265625,-1.5245853774249554,0.0019390237,0.3133048415184021,1.1141544580459595,0.00025,100,0.2,0.8661032915115356,-0.0014485920750303195
12,2410,-0.5747515,24576,10,1.9024406243115664,0.00673828125,-1.5304151251912117,0.0011811695,0.5049331188201904,1.1211943626403809,0.00025,110,0.2,0.6614397168159485,-0.0021138917451025917
13,2407,-1.2010213,26624,11,3.435498857498169,0.003271484375,-1.5365007646381854,0.0015899639,0.43750423192977905,1.127615213394165,0.00025,120,0.2,1.8412272930145264,-0.0007219034130685031
14,2405,0.91219044,28672,11,4.690993312001228,0.0009765625,-1.5420073211193084,0.000994933,0.4944174885749817,1.1342689990997314,0.00025,130,0.2,2.511301040649414,-0.0008006538962945342
15,2403,0.9051621,30720,12,6.858120238780975,0.00634765625,-1.548006545007229,0.0029869818,0.40209054946899414,1.1409590244293213,0.00025,140,0.2,2.6341962814331055,-0.0014216885552741586
16,2402,-3.4384575,32768,13,3.5879125520586967,0.011328125,-1.551209393888712,0.0027365028,0.5896250009536743,1.1414333581924438,0.00025,150,0.2,1.4014166593551636,-0.0013005979024455882
17,2400,0.03542099,34816,14,2.949838049709797,0.00869140625,-1.5526150733232498,0.0024793886,0.6562806367874146,1.1444141864776611,0.00025,160,0.2,1.109562873840332,-0.0014244738908018918
18,2399,3.2218704,36864,15,3.6247238144278526,0.00830078125,-1.5551441296935082,0.0026918615,0.6895712614059448,1.1458052396774292,0.00025,170,0.2,1.8377567529678345,-0.0019979702250566334
19,2391,0.51762706,38912,16,6.641423165798187,0.012109375,-1.5567342907190322,0.0027294676,0.5459457635879517,1.149954080581665,0.00025,180,0.2,2.7581276893615723,-0.0018891907850047574
20,2391,0.53274477,40960,17,3.5604126431047916,0.01376953125,-1.5575771145522594,0.002536681,0.6766608953475952,1.1472402811050415,0.00025,190,0.2,1.462794303894043,-0.002983659814344719
21,2391,-1.4610101,43008,17,3.088256547600031,0.0224609375,-1.560769783705473,0.0041228198,0.7205066084861755,1.1565675735473633,0.00025,200,0.2,1.0637946128845215,-0.0027677762554958463
22,2390,0.49651843,45056,18,4.02987681478262,0.00029296875,-1.5684737250208856,0.00056336273,0.7019834518432617,1.1660276651382446,0.00025,210,0.2,2.443138360977173,-0.0006909953051945194
23,2390,0.04317687,47104,19,6.890448275208473,0.0138671875,-1.5759939715266227,0.002690611,0.6105219125747681,1.1728124618530273,0.00025,220,0.2,4.104073524475098,-0.002574445476057008
24,2389,0.09298001,49152,20,8.595753848552704,0.0,-1.5793562568724155,0.00014551467,0.5394755601882935,1.175771951675415,0.00025,230,0.2,2.864485740661621,-0.00015351822803495453
25,2389,-0.054734223,51200,21,3.356848935782909,0.00390625,-1.5825310088694096,0.0016503381,0.7842139601707458,1.1793289184570312,0.00025,240,0.2,1.1931947469711304,-0.0014709038790897467
26,2387,-5.153945,53248,22,8.37219495922327,0.000146484375,-1.5863150663673877,0.0006596361,0.6225086450576782,1.1861448287963867,0.00025,250,0.2,2.5442638397216797,-0.0006451968591136392
27,2387,-4.0175314,55296,23,7.7405511170625685,0.00322265625,-1.5921990729868412,0.0019897886,0.6796818971633911,1.191962480545044,0.00025,260,0.2,4.452943801879883,-0.0016652778373099863
28,2386,1.0512332,57344,24,9.089042949676514,0.0,-1.5970904871821403,0.00062563276,0.5846933126449585,1.1981337070465088,0.00025,270,0.2,3.4652090072631836,-0.0003106854215729982
29,2386,0.49765295,59392,24,2.7528356090188026,0.021728515625,-1.599639954417944,0.0037938936,0.7948979139328003,1.1966537237167358,0.00025,280,0.2,0.755250871181488,-0.0031555389083223417
30,2386,0.26546413,61440,25,6.2076935976743695,0.0111328125,-1.6012726932764054,0.0026324964,0.7507857084274292,1.2031792402267456,0.00025,290,0.2,2.9558653831481934,-0.002820848768169526
