time/time_elapsed,time/iterations,train/reward,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss
1,1,-0.009077299,1653,2048,,,,,,,,,,,
2,2,0.2353007,1436,4096,0.31903289994224904,-0.00320171544153709,0.0003,1.0073678493499756,10,0.042138671875,0.10608641058206558,0.006929781,0.2,0.06332886219024658,-4.27171880453825
4,3,-0.18570481,1378,6144,4.3530957624316216,-0.0026462043264473324,0.0003,1.0074042081832886,20,0.043115234375,0.3421039283275604,0.007652382,0.2,-0.09796738624572754,-4.2808411657810215
6,4,0.014786342,1350,8192,0.5815953751560301,-0.005697275960119441,0.0003,0.9895060062408447,30,0.064111328125,0.22813409566879272,0.007442252,0.2,0.033492326736450195,-4.252511128783226
10,5,0.10800912,988,10240,0.16743058615829795,-0.0028262111620279027,0.0003,0.9971781373023987,40,0.09228515625,0.05783718079328537,0.0090469895,0.2,0.14123022556304932,-4.2360311627388
12,6,-0.085141085,985,12288,0.3973734007682651,-0.001434597425395623,0.0003,0.9914956092834473,50,0.05380859375,0.13450047373771667,0.004043827,0.2,0.1348392367362976,-4.241175445914268
14,7,-0.0125029655,1011,14336,1.0154178245924412,-0.002746085776743712,0.0003,0.9935433864593506,60,0.105615234375,0.26344311237335205,0.0102374125,0.2,0.01637476682662964,-4.233193904161453
15,8,0.17621495,1036,16384,0.42685346137732266,-1.6954586317297072e-05,0.0003,0.9915306568145752,70,0.067626953125,0.27713659405708313,0.006307675,0.2,0.00864797830581665,-4.233933979272843
17,9,-0.091088034,1046,18432,0.46383152101188896,-0.0010398347149020992,0.0003,0.9861371517181396,80,0.049462890625,0.2064441740512848,0.007019537,0.2,0.088509202003479,-4.221516832709312
19,10,0.50906444,1064,20480,0.6911349460482598,-0.006278146985277999,0.0003,0.9988033175468445,90,0.07998046875,0.320639431476593,0.008270357,0.2,0.07613474130630493,-4.233130379021167
20,11,0.090336725,1080,22528,0.9775895996019244,-0.001256762478442397,0.0003,1.0016636848449707,100,0.044921875,0.46238434314727783,0.005929817,0.2,0.09510540962219238,-4.254038421809673
