train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/n_updates,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
-0.0112313,2048,1,1,1405,,,,,,,,,,,
-1.0196613,4096,3,2,1309,-0.034394025802612305,10,-4.253420639038086,0.9973332285881042,-0.0015176074899500235,0.00025,0.36969101428985596,0.004237181,1.4279935713857412,0.03134765625,0.2
0.6586479,6144,4,3,1295,0.008676648139953613,20,-4.250329020619392,0.9985077977180481,-0.0022265454143052922,0.00025,6.56313943862915,0.002577566,18.793024104833602,0.01279296875,0.2
0.6470276,8192,6,4,1313,-0.006570100784301758,30,-4.252274286746979,0.9988939762115479,-0.001329734575119801,0.00025,17.199289321899414,0.0031037023,27.725971984863282,0.007470703125,0.2
0.50406975,10240,7,5,1325,0.09794455766677856,40,-4.253381940722465,0.998212993144989,-0.0029195409879321232,0.00025,12.771773338317871,0.005279975,26.129699271917342,0.02314453125,0.2
-0.67951816,12288,9,6,1328,0.002635478973388672,50,-4.251743912696838,0.9985165596008301,-0.0023302464265725575,0.00025,48.9099235534668,0.004591152,113.24311332702636,0.01455078125,0.2
-2.1870134,14336,10,7,1315,0.26211118698120117,60,-4.256141871213913,1.0010489225387573,-0.005225613380025607,0.00025,3.395585775375366,0.012848887,7.349127408862114,0.074560546875,0.2
-0.06577748,16384,12,8,1311,0.09468221664428711,70,-4.25920667052269,0.9994306564331055,-0.0006516208537505008,0.00025,34.797889709472656,0.0018572992,61.676290440559384,0.00078125,0.2
-2.640337,18432,13,9,1318,0.010077357292175293,80,-4.254848071932793,0.999844491481781,-0.001523691922920989,0.00025,66.51580047607422,0.0044890153,191.82660727500917,0.012109375,0.2
0.076218955,20480,15,10,1314,0.5874436497688293,90,-4.236421000957489,0.9835777282714844,-0.00401429058983922,0.00025,2.0484464168548584,0.006602854,6.206051594018936,0.0634765625,0.2
-7.936789,22528,17,11,1285,0.12716925144195557,100,-4.202567678689957,0.9808468818664551,-0.0007477268984075636,0.00025,43.96989822387695,0.0038557178,88.76749622821808,0.01357421875,0.2
0.3767148,24576,19,12,1280,0.0005456209182739258,110,-4.20078327357769,0.9826685786247253,-0.0020185096189379694,0.00025,17.903949737548828,0.0059598787,53.50648715496063,0.023291015625,0.2
