time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/approx_kl
2048,1,1,1657,,,,,,,,,,,
4096,2,2,1555,0.2,0.00025,0.03337794542312622,1.4092138908803462,0.7934622764587402,-0.0028472789854276925,-4.258767530322075,10,0.9999904632568359,0.01337890625,0.0025156527
6144,3,4,1526,0.2,0.00025,0.05784928798675537,6.752717500925064,4.284265518188477,-0.0020519628531474156,-4.2546276360750195,20,0.9992813467979431,0.0125,0.0037907243
8192,4,5,1509,0.2,0.00025,0.3403000831604004,2.0940213441848754,0.8258653283119202,-0.002445536802406423,-4.256322339177132,30,1.000840187072754,0.03095703125,0.00501514
10240,5,6,1496,0.2,0.00025,0.13755744695663452,6.786671923100949,3.1050264835357666,-0.003105771102127619,-4.258065965771675,40,1.0011601448059082,0.039453125,0.003444859
12288,6,8,1490,0.2,0.00025,0.40384072065353394,5.022563818097114,2.3957793712615967,-0.006127117603318766,-4.256643900275231,50,0.997136652469635,0.050537109375,0.0067556435
14336,7,9,1487,0.2,0.00025,0.3188425302505493,12.294465899467468,8.579001426696777,-0.002528539815102704,-4.246950578689575,60,0.9955552220344543,0.01142578125,0.0024758053
16384,8,11,1452,0.2,0.00025,0.19910120964050293,18.634337079524993,9.720617294311523,-0.0024456016311887653,-4.239858150482178,70,0.992968738079071,0.028125,0.0035940658
18432,9,12,1454,0.2,0.00025,0.0017184019088745117,18.216216254234315,6.015313148498535,-0.0011926668550586328,-4.234416463971138,80,0.9931354522705078,0.01748046875,0.004168802
20480,10,14,1455,0.2,0.00025,0.3552559018135071,12.809967386722565,5.309561729431152,-0.0016725112553103827,-4.237754291296005,90,0.9936339855194092,0.02890625,0.002688028
22528,11,15,1456,0.2,0.00025,0.31924283504486084,24.09579227566719,8.899202346801758,-0.0035577631744672543,-4.240314701199532,100,0.9957888722419739,0.0333984375,0.0061100647
24576,12,16,1457,0.2,0.00025,0.16802215576171875,36.23092963695526,15.155839920043945,-0.0034372027701465415,-4.2427829802036285,110,0.9948709607124329,0.022802734375,0.0050058076
26624,13,18,1458,0.2,0.00025,-0.02270364761352539,21.940789741277694,9.180235862731934,-0.0008510296465829015,-4.238420364260674,120,0.9931061863899231,0.020703125,0.004354428
28672,14,19,1458,0.2,0.00025,0.21685528755187988,30.868416786193848,17.968358993530273,-0.0014577951646060684,-4.23153064250946,130,0.9904980659484863,0.01220703125,0.004318133
30720,15,21,1458,0.2,0.00025,0.16182094812393188,47.186962485313416,24.26652717590332,-0.003201649500988424,-4.222661548852921,140,0.9866914749145508,0.0451171875,0.004612525
32768,16,22,1458,0.2,0.00025,0.15889525413513184,49.27952753305435,28.91867446899414,-0.0010221345582976937,-4.216719943284988,150,0.9876224398612976,0.00859375,0.0021375096
34816,17,23,1458,0.2,0.00025,-0.019478321075439453,23.990095555782318,11.401719093322754,-0.0011859192498377524,-4.22580678164959,160,0.9932832717895508,0.039892578125,0.006834687
36864,18,25,1458,0.2,0.00025,0.26849210262298584,37.16183707714081,13.942619323730469,-0.0011519840030814522,-4.2329910576343535,170,0.9906989932060242,0.039453125,0.006846615
38912,19,26,1457,0.2,0.00025,0.18684804439544678,46.57349184751511,24.647245407104492,-0.0032982711782096885,-4.234039145708084,180,0.995919406414032,0.041943359375,0.0055543208
40960,20,28,1458,0.2,0.00025,0.14949345588684082,48.17961894273758,20.45418357849121,-0.004351402164320462,-4.242008623480797,190,0.993116557598114,0.0494140625,0.0041950415
43008,21,29,1458,0.2,0.00025,0.17976224422454834,21.154901486635207,9.766255378723145,-0.0022992081183474513,-4.235467678308487,200,0.99349045753479,0.0421875,0.006173489
45056,22,30,1458,0.2,0.00025,0.17966580390930176,46.48111497163772,21.4555606842041,-0.0013581061968579889,-4.238221457600593,210,0.9940846562385559,0.03134765625,0.0049136933
47104,23,32,1459,0.2,0.00025,0.1690656542778015,55.626181554794314,31.969675064086914,-0.0023549465695396066,-4.236271950602531,220,0.9918773174285889,0.04501953125,0.0062042517
49152,24,33,1460,0.2,0.00025,0.09079331159591675,56.778383421897885,27.01333236694336,-0.003339388957829215,-4.228536927700043,230,0.9894575476646423,0.03212890625,0.004795252
51200,25,35,1451,0.2,0.00025,0.18517446517944336,23.38459143638611,10.530379295349121,-0.002194588842394296,-4.215580728650093,240,0.9836975932121277,0.038134765625,0.005473261
53248,26,36,1452,0.2,0.00025,0.17448210716247559,51.954054427146914,36.53466033935547,-0.0029243797733215617,-4.204304113984108,250,0.9819778800010681,0.049462890625,0.006672848
55296,27,38,1453,0.2,0.00025,0.1745542287826538,62.06106004714966,37.71125030517578,-0.00012146210501668974,-4.206309312582016,260,0.9865167737007141,0.07001953125,0.01030403
57344,28,39,1453,0.2,0.00025,9.548664093017578e-05,54.346374011039735,27.38140869140625,-0.003438302605354693,-4.214570558071136,270,0.9866239428520203,0.043603515625,0.003981124
59392,29,40,1454,0.2,0.00025,0.25519895553588867,29.976151019334793,28.650373458862305,-0.002035138645442203,-4.218875703215599,280,0.9890203475952148,0.050244140625,0.0048698285
61440,30,42,1455,0.2,0.00025,0.19794327020645142,58.1360045671463,31.355056762695312,-0.0014212829119060189,-4.220595368742943,290,0.9888491034507751,0.04140625,0.0057939338
