time/time_elapsed,time/fps,time/total_timesteps,train/reward,time/iterations,train/approx_kl,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
0,2928,2048,-0.043847177,1,,,,,,,,,,,
1,2507,4096,0.054103974,2,0.0036841873,-1.4135174229741096,0.9887880682945251,0.02763671875,0.00025,0.2,0.2627476751804352,-0.20652735233306885,10,-0.003938033580197953,0.7689008705317975
2,2488,6144,-0.03772791,3,0.0035186745,-1.412812788784504,0.997786819934845,0.015966796875,0.00025,0.2,0.053240105509757996,0.601974606513977,20,-0.0049999994080280885,0.11650105565786362
3,2480,8192,-0.038053833,4,0.0047888593,-1.4184561036527157,1.0007599592208862,0.029345703125,0.00025,0.2,0.05435596778988838,0.7106320261955261,30,-0.006579074845649302,0.13342789518646897
4,2474,10240,0.0100895995,5,0.0047830245,-1.4103156626224518,0.9834084510803223,0.031982421875,0.00025,0.2,0.03360765054821968,0.7623649835586548,40,-0.006199200832634233,0.12778951050713658
5,2344,12288,0.04137208,6,0.0035859265,-1.4043706879019737,0.9877393841743469,0.026806640625,0.00025,0.2,0.10249803960323334,0.6654494404792786,50,-0.004819634201703593,0.20776282669976354
6,2235,14336,0.29491967,7,0.0049162214,-1.4089749172329902,0.9908108115196228,0.03564453125,0.00025,0.2,0.027648119255900383,0.7724545001983643,60,-0.006374084213166498,0.11159667419269681
7,2225,16384,0.1110605,8,0.0035848957,-1.407646495103836,0.9855800271034241,0.02685546875,0.00025,0.2,0.030403371900320053,0.8166252374649048,70,-0.005217178202292417,0.1171853203792125
8,2225,18432,-0.13412777,9,0.0024038928,-1.400706435739994,0.9776737093925476,0.0150390625,0.00025,0.2,0.030829623341560364,0.8581664562225342,80,-0.005454908875981346,0.08937704695854336
9,2200,20480,0.16013263,10,0.0045305844,-1.395792931318283,0.9773580431938171,0.03662109375,0.00025,0.2,0.013106321915984154,0.8361790776252747,90,-0.006184920395025983,0.11263267078902572
10,2119,22528,0.11737017,11,0.0026293027,-1.398448583483696,0.9811864495277405,0.02060546875,0.00025,0.2,0.0052235182374715805,0.9097529649734497,100,-0.004492530500283465,0.0645646067801863
11,2091,24576,0.069425255,12,0.0036224881,-1.397366739809513,0.9751349687576294,0.034765625,0.00025,0.2,0.010232694447040558,0.7754542827606201,110,-0.005499700733344071,0.05890400344505906
12,2109,26624,-0.026145697,13,0.003030057,-1.3954483643174171,0.9787036776542664,0.015869140625,0.00025,0.2,-0.015163792297244072,0.8852929472923279,120,-0.0052791132387937974,0.05389755708165467
13,2124,28672,0.15810268,14,0.0022785058,-1.3949740886688233,0.9730470180511475,0.012841796875,0.00025,0.2,-0.003826269879937172,0.9061936140060425,130,-0.006081152780097909,0.059973094356246294
14,2143,30720,0.076116696,15,0.00441852,-1.3932477690279483,0.9754881858825684,0.031396484375,0.00025,0.2,0.01305149495601654,0.9210467338562012,140,-0.006263008932000958,0.061522221704944965
