time/total_timesteps,time/time_elapsed,time/iterations,train/reward,time/fps,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/std
2048,5,1,-0.011522247,397,,,,,,,,,,,
4096,7,2,-0.16284098,568,0.048681640625,-0.002776182335219346,10,0.4059113999828696,0.14492486417293549,0.2,0.0058703925,-4.251106986403466,0.14513319730758667,0.00025,0.9948529601097107
6144,9,3,0.44907415,679,0.05068359375,-0.007862756225222256,20,5.276187481731176,2.806495189666748,0.2,0.0061632995,-4.232299925386906,-0.015295147895812988,0.00025,0.9884133338928223
8192,11,4,0.33178958,715,0.02412109375,-0.005612745034159161,30,10.017249570041894,3.9837565422058105,0.2,0.006283929,-4.223233184218406,0.18518441915512085,0.00025,0.9884321093559265
10240,13,5,0.4919663,761,0.02255859375,-0.0034164206226705573,40,8.92298233062029,6.384140491485596,0.2,0.0035013342,-4.2197838723659515,0.2715895175933838,0.00025,0.9878293871879578
12288,15,6,-0.9082798,799,0.04248046875,-0.004921984176326078,50,51.594611912965775,28.979827880859375,0.2,0.0069724577,-4.220831099152565,0.11971992254257202,0.00025,0.9876556396484375
14336,17,7,-1.8969309,835,0.080322265625,-0.0030029167115571908,60,6.499574683606625,3.2263169288635254,0.2,0.0072639985,-4.214093792438507,0.08405137062072754,0.00025,0.9852848052978516
16384,18,8,-0.121016875,867,0.0693359375,-0.005390495881147217,70,32.50597979426384,8.76175308227539,0.2,0.0068605207,-4.217908416688442,0.035229623317718506,0.00025,0.988878071308136
18432,20,9,-3.433028,888,0.0267578125,-0.0009663037650170736,80,90.67011458873749,28.8282470703125,0.2,0.005498668,-4.226502817869187,-0.00943899154663086,0.00025,0.9918853640556335
20480,22,10,0.099965096,909,0.065283203125,-0.0024731608049478383,90,10.642674341797829,5.193362236022949,0.2,0.0075253337,-4.229665273427964,0.3290376663208008,0.00025,0.9886696934700012
22528,24,11,-9.200969,909,0.030615234375,-0.0009820569714065642,100,100.8609876871109,48.243770599365234,0.2,0.003451888,-4.220288333296776,0.07474422454833984,0.00025,0.9869926571846008
24576,26,12,0.43420762,923,0.099658203125,-0.0021962232087389564,110,71.20925076603889,30.897703170776367,0.2,0.01018814,-4.219541426002979,0.012830078601837158,0.00025,0.9882058501243591
26624,28,13,0.018334238,938,0.043994140625,-0.0026499621468246914,120,48.58454799354077,18.605247497558594,0.2,0.006849047,-4.214567922055721,0.2628626227378845,0.00025,0.9836419224739075
28672,30,14,-10.793179,952,0.039111328125,-0.002924865836757817,130,167.27369558811188,61.323665618896484,0.2,0.00705773,-4.215174449980259,0.09116750955581665,0.00025,0.9892468452453613
30720,31,15,-0.42339712,964,0.0548828125,-0.0017868520459160208,140,34.4297378718853,15.23921012878418,0.2,0.0061087245,-4.2303853034973145,-0.09068071842193604,0.00025,0.9924211502075195
32768,33,16,-0.07824114,975,0.0447265625,-0.002081892891146708,150,176.15110478401184,57.79401779174805,0.2,0.0065688924,-4.231857557594776,0.12139999866485596,0.00025,0.9911101460456848
34816,35,17,-0.43940789,985,0.023046875,-0.0010096365855133626,160,162.57115638256073,63.35674285888672,0.2,0.002552004,-4.226971533894539,0.06982862949371338,0.00025,0.9896619915962219
36864,37,18,0.89692867,991,0.083984375,-0.002774369412509259,170,14.089277264475822,7.99725866317749,0.2,0.008601507,-4.243712082505226,0.5951935052871704,0.00025,0.9977001547813416
38912,41,19,-4.668038,946,0.005224609375,-0.0013875891105271875,180,139.64115487337114,65.56462860107422,0.2,0.0019689426,-4.252627331018448,0.20381933450698853,0.00025,1.0003198385238647
40960,43,20,1.1980768,947,0.042333984375,-0.002904611594567541,190,96.91838191151619,47.20109939575195,0.2,0.0043887077,-4.2536406993865965,0.06318783760070801,0.00025,0.9981467127799988
43008,45,21,0.16416466,954,0.041845703125,-0.002931834547780454,200,81.78999184966088,29.098678588867188,0.2,0.0057979533,-4.251731352508068,0.27447831630706787,0.00025,0.9998579025268555
45056,46,22,1.9107544,961,0.031298828125,-0.0023170639615273103,210,195.91771001815795,40.8116569519043,0.2,0.0043939315,-4.253953556716442,0.05718809366226196,0.00025,0.99786776304245
47104,48,23,2.1411195,964,0.06455078125,0.0008950587114668451,220,40.90425528883934,25.27511215209961,0.2,0.008783446,-4.271464514732361,-0.006276607513427734,0.00025,1.0112024545669556
49152,50,24,0.27430025,965,0.05380859375,-0.004058420246292371,230,213.01880978345872,137.06617736816406,0.2,0.0049236794,-4.291529925167561,0.14895415306091309,0.00025,1.011531949043274
