time/iterations,train/reward,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance
1,-0.057556715,3317,0,2048,,,,,,,,,,,
2,-1.2818226,2932,1,4096,0.00025,1.0032774209976196,0.7138131849467755,0.3416620194911957,-1.4220767043530942,0.0033793321,10,0.01650390625,0.2,-0.0008564183517592028,0.0
3,-3.0118997,2822,2,6144,0.00025,1.0025293827056885,20.234646916389465,11.207433700561523,-1.422320131957531,0.0045841346,20,0.011474609375,0.2,-0.0007073533153743484,0.0006945133209228516
4,-0.6934862,2770,2,8192,0.00025,1.0006775856018066,12.10621934235096,5.264099597930908,-1.4206130988895893,0.00022102054,30,0.0,0.2,-0.0001335889843176119,-0.007567286491394043
5,-13.914652,2742,3,10240,0.00025,1.0008046627044678,53.6683825135231,19.596548080444336,-1.4194910548627377,0.0020085888,40,0.00458984375,0.2,-0.0014776409603655337,0.0014962553977966309
6,-0.44801733,2725,4,12288,0.00025,0.9988459944725037,78.96345880031586,29.818307876586914,-1.4188177280128003,0.0010181819,50,0.0,0.2,-0.00022338368289638312,0.0013369917869567871
7,0.4730558,2713,5,14336,0.00025,0.9982632994651794,20.219382259249688,6.184621810913086,-1.417264786362648,0.003426841,60,0.039453125,0.2,-0.0032673512963810936,0.039982736110687256
8,3.2111442,2703,6,16384,0.00025,1.00065279006958,96.20423011779785,64.02946472167969,-1.4181982561945916,0.0015620932,70,0.012841796875,0.2,-0.0017444192213588393,0.007181763648986816
9,0.87394625,2696,6,18432,0.00025,0.9970926642417908,22.141703182458876,9.086079597473145,-1.417815724760294,0.0039868597,80,0.015673828125,0.2,-0.002893229124310892,-0.027031898498535156
10,1.4033701,2658,7,20480,0.00025,0.9964761137962341,95.28637125492097,40.74917984008789,-1.4156954921782017,0.002439691,90,0.012353515625,0.2,-0.0013633889240736608,0.027968406677246094
11,-1.4147316,2628,8,22528,0.00025,0.9949452877044678,67.78222621679306,43.10649490356445,-1.414369662851095,0.0020191872,100,0.00234375,0.2,-0.0004864359609200619,-0.0017124414443969727
12,0.45066196,2629,9,24576,0.00025,0.9966989755630493,34.73205752968788,11.244152069091797,-1.4147148951888084,0.004779539,110,0.0140625,0.2,-0.0012061112887749915,0.009731173515319824
13,3.4965768,2630,10,26624,0.00025,0.9915118217468262,76.12022374868393,35.26218795776367,-1.4130991458892823,0.0027991994,120,0.0080078125,0.2,-0.0022745542344637217,0.0203130841255188
14,1.5285438,2603,11,28672,0.00025,0.9991904497146606,16.3071144759655,10.01573371887207,-1.413488071411848,0.0010850583,130,0.007666015625,0.2,-0.0007456249615643174,0.027585148811340332
15,-6.992888,2606,11,30720,0.00025,0.9981106519699097,76.86921167373657,48.40935134887695,-1.4181547358632087,0.000897216,140,0.008544921875,0.2,-0.00037583818193525075,0.0665656328201294
16,0.14734703,2608,12,32768,0.00025,1.0020205974578857,45.29018167257309,26.800783157348633,-1.4197082586586476,0.0021910286,150,0.01181640625,0.2,-0.000133037335035624,-0.031216979026794434
17,0.19521314,2610,13,34816,0.00025,1.0024640560150146,30.75300927758217,13.700749397277832,-1.4209857307374478,0.0054352027,160,0.02724609375,0.2,-0.002370516600785777,-0.0007168054580688477
18,5.598873,2612,14,36864,0.00025,1.0120704174041748,61.688667273521425,40.348716735839844,-1.4266465708613396,0.0064346245,170,0.0087890625,0.2,-0.00023646909976378084,0.005184292793273926
19,0.52442956,2613,14,38912,0.00025,1.0072749853134155,9.217153903841972,2.9022858142852783,-1.4299189575016498,0.00353483,180,0.009814453125,0.2,-0.0015472589235287159,0.056561946868896484
20,0.90457046,2610,15,40960,0.00025,1.008068561553955,69.35516083240509,28.631519317626953,-1.4265651434659958,0.002196483,190,0.027099609375,0.2,-0.0016513976421265396,0.01599818468093872
21,-2.961696,2607,16,43008,0.00025,1.0120223760604858,61.352954757213595,51.198543548583984,-1.4285606473684311,0.0021502906,200,0.001708984375,0.2,-0.00036208987003192303,-0.0028227567672729492
22,-0.29066676,2608,17,45056,0.00025,1.013654351234436,42.186313450336456,22.102638244628906,-1.4323842346668243,0.0035784491,210,0.0384765625,0.2,-0.002732192039184156,0.023405611515045166
23,0.5201283,2610,18,47104,0.00025,1.0196058750152588,97.76443629264831,44.3576774597168,-1.435076679289341,0.0015436737,220,0.00068359375,0.2,-0.0003006207407452166,0.005055546760559082
24,0.9098472,2610,18,49152,0.00025,1.0237126350402832,11.593537706136704,6.391229629516602,-1.4396529898047448,0.0016308918,230,0.0236328125,0.2,-0.0017317319085123017,0.1656332015991211
25,6.5965676,2611,19,51200,0.00025,1.0259120464324951,86.180526471138,31.46537971496582,-1.4434621945023536,0.0073118936,240,0.018798828125,0.2,-0.003423452867718879,0.022613167762756348
