time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/std,train/policy_gradient_loss,train/clip_range,train/approx_kl
3077,1,-0.020194998,0,2048,,,,,,,,,,,
2752,2,-0.113447465,1,4096,-1.421384122222662,0.00517578125,0.00025,10,0.0,0.2128778100013733,0.3715258322656155,1.0015956163406372,-0.0003285789804067463,0.2,0.0017351415
2587,3,-0.2858443,2,6144,-1.4207075260579587,0.0,0.00025,20,0.0,0.32364264130592346,0.5198447921313345,1.0020064115524292,0.00019759002898354084,0.2,0.00021128086
2511,4,-0.15007123,3,8192,-1.4184291765093804,0.036962890625,0.00025,30,0.0,-0.003791624680161476,0.02738966974429786,0.9972665905952454,-0.0035580142954131587,0.2,0.0053313067
2474,5,-1.5643288,4,10240,-1.419940185546875,0.002880859375,0.00025,40,0.02842569351196289,1.7834340333938599,3.9792042449116707,1.0047721862792969,-0.0005687812255928293,0.2,0.0023321107
2344,6,-0.34439746,5,12288,-1.423917643725872,0.02685546875,0.00025,50,-1.1920928955078125e-07,0.8294686079025269,1.433583975210786,1.0045528411865234,-0.0019792744336882607,0.2,0.0046668304
2042,7,0.009934679,7,14336,-1.4227013371884822,0.019189453125,0.00025,60,-0.05877280235290527,1.7835845947265625,4.141801078617573,1.0035306215286255,-0.0011770801123930142,0.2,0.0026410492
1999,8,1.8545883,8,16384,-1.4224657893180848,0.0126953125,0.00025,70,-0.008272767066955566,17.078651428222656,33.44761451482773,1.003576397895813,-0.0010093306569615378,0.2,0.0057985857
1970,9,0.7784811,9,18432,-1.419565784931183,0.021826171875,0.00025,80,0.022886276245117188,2.8545725345611572,5.2643996074795725,0.9969627857208252,-0.0030606425600126384,0.2,0.0030055558
2007,10,1.2332742,10,20480,-1.4163758143782617,0.00185546875,0.00025,90,0.030239522457122803,9.157984733581543,30.720280754566193,0.9981764554977417,-0.0005446078968816437,0.2,0.0015257411
2046,11,-1.2567271,11,22528,-1.4174173884093761,0.004931640625,0.00025,100,-0.01563096046447754,26.975868225097656,56.168720436096194,0.9990438222885132,-0.0008013897284399718,0.2,0.0039218306
2083,12,0.4175785,11,24576,-1.4176153644919396,0.0,0.00025,110,-0.005000472068786621,7.072236061096191,26.10053209066391,0.9987226724624634,-0.000255468997056596,0.2,0.00025264494
2112,13,3.3097272,12,26624,-1.4171062745153904,0.00029296875,0.00025,120,-0.003994464874267578,26.204193115234375,59.36968283653259,0.9977750182151794,-0.0007210116586065851,0.2,0.0013245749
1997,14,1.7386019,14,28672,-1.4191293925046922,0.000390625,0.00025,130,0.018751084804534912,7.2193732261657715,13.662397128343581,1.0030715465545654,-0.0007576356205390766,0.2,0.0010983989
1988,15,-4.94613,15,30720,-1.422372007369995,0.00498046875,0.00025,140,0.04980963468551636,28.66785430908203,62.11595869064331,1.0037511587142944,-0.0012150357928476297,0.2,0.0042823004
1929,16,0.10948984,16,32768,-1.423660945147276,0.019189453125,0.00025,150,-0.010915637016296387,20.234514236450195,25.142639452219008,1.0058099031448364,-0.0013059357297606766,0.2,0.0032732137
1946,17,0.4821929,17,34816,-1.4231427967548371,0.00625,0.00025,160,0.05234789848327637,8.18925952911377,13.34547590315342,1.0034370422363281,-0.00036269237607484684,0.2,0.0012318522
1967,18,5.53064,18,36864,-1.4223103486001492,0.01435546875,0.00025,170,0.051152586936950684,23.52693748474121,41.79326964616776,1.0026893615722656,-0.0018011884043517058,0.2,0.0036693723
1991,19,0.50357085,19,38912,-1.4227870933711528,0.010791015625,0.00025,180,0.22399860620498657,4.610621929168701,9.213465845584869,1.0048418045043945,-0.0001801935097319074,0.2,0.0043179314
2015,20,0.8986874,20,40960,-1.422383427619934,0.006787109375,0.00025,190,0.044586360454559326,35.62751388549805,67.27652308940887,1.0017082691192627,-0.0008589590244810097,0.2,0.0029998654
2037,21,-3.133779,21,43008,-1.4202567681670188,0.00302734375,0.00025,200,0.0008031129837036133,16.77226448059082,60.030387258529665,1.0005561113357544,-0.0004219283408019692,0.2,0.0021262513
2058,22,-0.4806004,21,45056,-1.4181319989264012,0.0478515625,0.00025,210,0.0463603138923645,13.667695999145508,43.52427581548691,0.9975118637084961,-0.0035376026600715703,0.2,0.0060240366
2077,23,0.5697364,22,47104,-1.416676540672779,0.008251953125,0.00025,220,0.03175634145736694,72.94686889648438,111.91246738433838,0.9980883598327637,-0.0008640806467155926,0.2,0.001979509
2095,24,1.0278924,23,49152,-1.4160202503204347,0.03349609375,0.00025,230,0.0443379282951355,9.208858489990234,14.812507432699203,0.9953636527061462,-0.003072093921946362,0.2,0.0032678968
2111,25,7.651866,24,51200,-1.411652398109436,0.00419921875,0.00025,240,0.03132683038711548,77.49284362792969,108.79981415271759,0.9891967177391052,-0.0007640282230568119,0.2,0.0017780834
