time/iterations,time/time_elapsed,time/total_timesteps,train/reward,time/fps,train/value_loss,train/std,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate
1,0,2048,-0.0086218435,3050,,,,,,,,,,,
2,1,4096,-0.43400535,2539,0.46264076251536607,1.0153566598892212,0.00021856086,-9.92654444416985e-05,-1.427112629264593,0.19426043331623077,10,0.2,0.0,5.960464477539063e-08,0.00025
3,2,6144,-2.157863,2502,3.1581098273396493,1.0123380422592163,0.0060993014,-0.0017570928059285507,-1.4332709588110446,1.8269542455673218,20,0.2,0.039208984375,0.0,0.00025
4,3,8192,-0.29852024,2489,6.567744256556034,1.0113734006881714,0.000789478,1.4071351324673742e-05,-1.4311468861997128,3.478749990463257,30,0.2,0.0,0.005526602268218994,0.00025
5,4,10240,-9.065599,2484,22.587051939964294,1.0106067657470703,0.0046007726,-0.002113268541870639,-1.4300346940755844,11.116950988769531,40,0.2,0.032958984375,0.013417601585388184,0.00025
6,4,12288,-0.39571145,2478,33.47087265253067,1.009730339050293,0.00078083284,-0.00048760840727481993,-1.4293967708945274,17.745426177978516,50,0.2,0.000244140625,-0.015964031219482422,0.00025
7,5,14336,0.29400912,2473,11.224448576569557,1.009413480758667,0.0008728365,-0.0004894365774816833,-1.4282000653445721,5.105110168457031,60,0.2,0.0009765625,0.042030274868011475,0.00025
8,6,16384,2.6931436,2471,73.82839813232422,1.0118097066879272,0.0028008055,-0.0003133176694973372,-1.4296845078468323,25.62162208557129,70,0.2,0.002392578125,0.01328742504119873,0.00025
9,7,18432,0.83864677,2469,15.988608545064926,1.0114461183547974,0.002009806,-0.0013027451117523015,-1.430516132712364,6.325052738189697,80,0.2,0.012939453125,0.02819526195526123,0.00025
10,8,20480,1.3481928,2468,71.23754231929779,1.0129033327102661,0.003411424,-0.00035241852747276426,-1.4311875522136688,33.97142028808594,90,0.2,0.003369140625,0.040939271450042725,0.00025
11,9,22528,-1.4829731,2467,61.711558961868285,1.015843152999878,0.0010988989,-0.0010899026179686188,-1.4330909118056296,15.820151329040527,100,0.2,0.005078125,-0.0007497072219848633,0.00025
12,9,24576,0.3125095,2466,32.44025446772575,1.0116487741470337,0.00398569,-0.001914420205866918,-1.4328070625662803,17.98149299621582,110,0.2,0.03623046875,0.04189258813858032,0.00025
13,10,26624,3.4048152,2465,86.27119121551513,1.0131245851516724,0.002810598,-0.0015874308825004845,-1.4309592626988887,29.669897079467773,120,0.2,0.013623046875,0.03190726041793823,0.00025
14,11,28672,1.8171132,2464,14.494242203235626,1.0123178958892822,0.0030587695,-0.0022297364164842294,-1.4325202494859695,5.993602275848389,130,0.2,0.0205078125,0.10413616895675659,0.00025
15,12,30720,-8.041546,2464,68.67559295892715,1.015878438949585,0.0042849183,-0.0007972811174113304,-1.4320488005876542,40.245208740234375,140,0.2,0.017529296875,0.06261956691741943,0.00025
16,13,32768,0.16097593,2461,59.1642804980278,1.0145834684371948,0.005517602,-0.0008493979621562175,-1.4343376502394676,22.054841995239258,150,0.2,0.0234375,-0.032468318939208984,0.00025
17,14,34816,0.8558268,2462,40.016735881567,1.0176106691360474,0.0028421488,-0.00112005357950693,-1.4356342986226083,19.299623489379883,160,0.2,0.02333984375,0.007342994213104248,0.00025
18,15,36864,6.285367,2450,91.65700755119323,1.016400694847107,0.003739418,-0.0007897721094195731,-1.4357571937143803,47.293724060058594,170,0.2,0.00546875,0.014329850673675537,0.00025
19,16,38912,0.56470066,2426,13.160942068696022,1.0100147724151611,0.003660665,-0.0007573706316179596,-1.432630255818367,5.5568952560424805,180,0.2,0.018359375,0.0004202127456665039,0.00025
20,16,40960,0.9903617,2421,89.02486388683319,1.0052632093429565,0.0010296372,0.00014722989581059665,-1.426129948347807,42.50843048095703,190,0.2,0.01044921875,0.009845077991485596,0.00025
21,17,43008,-3.069219,2398,71.61542698144913,1.0062748193740845,0.0017341233,-0.00129838288994506,-1.4246677175164222,26.76575469970703,200,0.2,0.02802734375,-0.004364967346191406,0.00025
22,19,45056,-0.5753185,2272,49.936959779262544,1.0155094861984253,0.0010976552,-0.0008558270259527489,-1.4297764033079148,27.971742630004883,210,0.2,0.01123046875,0.009839653968811035,0.00025
23,20,47104,0.57291675,2266,104.15777893066407,1.014359474182129,0.0021546446,-0.001220594730693847,-1.434685145318508,32.0726318359375,220,0.2,0.010400390625,0.009046375751495361,0.00025
24,22,49152,0.8869011,2233,15.697424280643464,1.006487488746643,0.0042407163,-0.0030533799348631875,-1.4301010981202125,9.675525665283203,230,0.2,0.0400390625,0.005466043949127197,0.00025
25,22,51200,6.4333124,2227,109.23900454044342,1.0084385871887207,0.0010062257,-0.0008479716590954923,-1.4265227295458316,57.28303527832031,240,0.2,0.009033203125,0.023550808429718018,0.00025
