time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
2048,0,3055,1,-0.05952647,,,,,,,,,,,
4096,1,2690,2,-1.0341381,-1.4193514190614223,0.00031895489373710004,10,0.0019330792,0.2,1.001366138458252,0.0037109375,0.00025,0.3654923723079264,0.0,0.17815731465816498
6144,2,2585,3,-0.5187135,-1.4202346831560135,-0.0008865303505444899,20,0.002970086,0.2,1.0003858804702759,0.0046875,0.00025,14.040230283141137,-0.003407001495361328,6.392392158508301
8192,3,2523,4,-0.18171337,-1.4197188310325146,-0.0025478413474047555,30,0.0043084673,0.2,1.0006555318832397,0.0439453125,0.00025,0.4697223162278533,1.1920928955078125e-07,0.3499704599380493
10240,4,2490,5,-8.253409,-1.4195215202867986,-0.0013906140637118369,40,0.0027864876,0.2,0.9995856285095215,0.004052734375,0.00025,5.100705246627331,-0.0003418922424316406,2.460503101348877
12288,5,2455,6,-0.08814577,-1.4187159404158591,-0.0023341599851846697,50,0.005750211,0.2,0.9998689889907837,0.012646484375,0.00025,28.118503397703172,-0.014627695083618164,23.34564208984375
14336,5,2440,7,0.0048420746,-1.4213297620415688,0.00032329700770787894,60,0.000269531,0.2,1.0060040950775146,0.0001953125,0.00025,3.3462027255794964,-0.003704071044921875,0.6625509858131409
16384,6,2410,8,-0.00038702792,-1.416023413091898,-0.0007382089141174219,70,0.004747683,0.2,0.9908950924873352,0.013818359375,0.00025,0.8565505511127413,0.0,0.38750845193862915
18432,7,2371,9,0.051390454,-1.4124797254800796,-0.0014907217817381024,80,0.0032888318,0.2,0.9960506558418274,0.023291015625,0.00025,0.014425881492206827,0.0,-0.009595446288585663
20480,8,2321,10,0.62245274,-1.4177302591502667,-0.0004931257863063365,90,0.0031638145,0.2,1.0009223222732544,0.02109375,0.00025,0.7878386082127691,-1.1920928955078125e-07,0.18749593198299408
22528,9,2312,11,-1.09881,-1.4234917812049388,-0.0011272833275143058,100,0.001283244,0.2,1.0087919235229492,0.000634765625,0.00025,13.738083589076997,-0.009091615676879883,3.4157116413116455
24576,10,2319,12,0.072443195,-1.4275144904851913,-0.0019018565901205875,110,0.0049370956,0.2,1.0072778463363647,0.02314453125,0.00025,9.383477449417114,-0.014156699180603027,5.519654273986816
26624,11,2325,13,0.22663304,-1.425696860253811,-0.001060634855821263,120,0.0035076528,0.2,1.0066107511520386,0.01435546875,0.00025,34.720826995372775,-0.001438140869140625,17.627376556396484
28672,12,2308,14,0.44149342,-1.4259810656309129,-0.0036605294473702086,130,0.0036099162,0.2,1.005954623222351,0.029345703125,0.00025,0.07808596813119947,0.0,0.020905597135424614
30720,13,2297,15,-4.4699006,-1.4217894658446313,-0.001956198895641137,140,0.004427945,0.2,1.000063419342041,0.022607421875,0.00025,1.4539116602391005,0.0,1.1460498571395874
32768,14,2291,16,0.12363823,-1.4192681677639485,-0.00024213710421463474,150,3.0353112e-05,0.2,1.0005162954330444,0.0,0.00025,23.946065497398376,0.0003986954689025879,8.989179611206055
34816,15,2296,17,0.7610174,-1.423831870406866,-0.0003071784376516007,160,0.0016894804,0.2,1.010280728340149,0.001953125,0.00025,15.200163751840591,-0.009850502014160156,6.999903202056885
36864,16,2284,18,5.968285,-1.4294466570019722,-0.0013280698651215062,170,0.0022685754,0.2,1.0102927684783936,0.003076171875,0.00025,56.17689009904861,-0.009085655212402344,25.311758041381836
38912,17,2257,19,0.50862783,-1.4300200439989568,-0.0004194250708678737,180,0.0015320019,0.2,1.0127687454223633,0.000537109375,0.00025,11.563918766379356,-0.03117072582244873,5.433795928955078
40960,18,2260,20,0.87884235,-1.4321080289781094,-9.591228154022246e-05,190,0.00022696899,0.2,1.013579249382019,0.0,0.00025,79.52037043571472,-0.0008139610290527344,38.04621124267578
43008,19,2258,21,-2.5017116,-1.4323482118546962,-0.0008125669264700264,200,0.0013728119,0.2,1.0136618614196777,0.002392578125,0.00025,57.35160194635391,0.001767277717590332,31.602876663208008
45056,19,2253,22,-0.13980716,-1.4329266652464867,-0.002425937983207405,210,0.004373759,0.2,1.0145747661590576,0.008056640625,0.00025,36.45269971489906,0.0014864802360534668,16.59209632873535
47104,20,2250,23,0.0040480737,-1.4346458286046981,-0.0015499282686505466,220,0.0033579282,0.2,1.016991376876831,0.0146484375,0.00025,56.509957778453824,0.0008647441864013672,22.10503578186035
49152,21,2248,24,0.18455529,-1.4434325337409972,0.00012020483845844864,230,0.00045282717,0.2,1.031062126159668,0.008349609375,0.00025,0.3811025509610772,-1.1920928955078125e-07,0.12737810611724854
51200,22,2249,25,4.179947,-1.4485992059111594,-0.0024867736181477086,240,0.009096788,0.2,1.025155782699585,0.05673828125,0.00025,0.3252342589199543,0.0,0.09215985983610153
