time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/n_updates,train/clip_range,train/approx_kl,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss
0,2048,-0.022315627,1,3219,,,,,,,,,,,
1,4096,-0.3452149,2,2830,10,0.2,0.0044923173,0.9989516735076904,0.0244140625,0.0,-1.419822782278061,0.7485452348366379,-0.0016453127493150533,0.00025,0.2515440285205841
2,6144,0.12994775,3,2714,20,0.2,0.0016268473,0.99689120054245,0.007421875,-0.010730266571044922,-1.4169680170714856,9.145113489031791,-0.0004391981346998364,0.00025,4.1527934074401855
3,8192,0.82322484,4,2663,30,0.2,0.0013992686,0.9971611499786377,0.000390625,0.00019806623458862305,-1.4159052602946758,42.90167747735977,-0.0001590579835465178,0.00025,24.682640075683594
3,10240,0.07195394,5,2631,40,0.2,0.0051900083,0.9911754727363586,0.01845703125,0.04279971122741699,-1.4135696336627006,2.856266538053751,-0.0022472206183010712,0.00025,1.1545416116714478
4,12288,-0.14279157,6,2609,50,0.2,0.0008016405,0.9913821220397949,0.0,0.03979802131652832,-1.409870807081461,24.872866708040238,-0.0003071346320211887,0.00025,10.449480056762695
5,14336,0.4535389,7,2594,60,0.2,0.0047568977,0.9928640127182007,0.005810546875,0.022003769874572754,-1.4109337531030177,50.53762061595917,-0.001331272021343466,0.00025,25.481678009033203
6,16384,-3.9945126,8,2580,70,0.2,0.0014251885,0.9907317757606506,0.001318359375,0.1913815140724182,-1.4110066182911396,8.793177798390388,-0.00023485975980293007,0.00025,5.578502655029297
7,18432,0.5341964,9,2573,80,0.2,0.004967662,0.9898813366889954,0.01201171875,0.0642385482788086,-1.4091467507183553,47.6820149898529,-0.0010769177926704288,0.00025,26.621000289916992
7,20480,2.8195386,10,2565,90,0.2,0.0021961136,0.9928334951400757,0.00478515625,0.049568891525268555,-1.4098867543041707,59.178093659877774,-0.0010070103620819283,0.00025,14.2887544631958
8,22528,-0.108385466,11,2561,100,0.2,0.0014542753,0.9919896125793457,0.00966796875,0.07461947202682495,-1.4116180799901485,14.679481506347656,-0.0005379386522690766,0.00025,8.861845970153809
9,24576,1.3765321,12,2555,110,0.2,0.0028220522,0.9921662211418152,0.008056640625,0.10360109806060791,-1.4116856470704078,59.469562232494354,-0.0013462915128911845,0.00025,27.276689529418945
10,26624,-2.7697694,13,2550,120,0.2,0.0029744743,0.9902161955833435,0.006494140625,0.07017898559570312,-1.410155601799488,69.52195842266083,-0.001099343971873168,0.00025,55.908531188964844
11,28672,1.2448871,14,2547,130,0.2,0.002643053,0.9921801686286926,0.007470703125,0.00022083520889282227,-1.4115590453147888,17.130357956886293,-0.0008553182924515568,0.00025,8.916611671447754
12,30720,0.4465544,15,2543,140,0.2,0.0039210734,0.9932721853256226,0.01875,0.062350332736968994,-1.411793441325426,67.33158627748489,-0.0018371745172771625,0.00025,19.79591941833496
12,32768,-0.44300118,16,2542,150,0.2,0.0014942465,0.9931643605232239,0.002099609375,0.09600919485092163,-1.4126209810376167,73.97716461420059,8.942516215029172e-05,0.00025,36.11732864379883
13,34816,1.1598347,17,2539,160,0.2,0.004913679,0.9874024391174316,0.041064453125,-0.00045228004455566406,-1.4101165927946568,22.022080498933793,-0.0031060920387972145,0.00025,10.764883041381836
14,36864,-0.577273,18,2526,170,0.2,0.0030608715,0.9876108765602112,0.015478515625,0.07803750038146973,-1.4062765426933765,56.61369793415069,-0.001514763172599487,0.00025,24.25421142578125
15,38912,-0.9319302,19,2487,180,0.2,0.0035580029,0.9912272095680237,0.0193359375,0.0506625771522522,-1.408743116259575,72.91066660881043,-0.0015862813947023825,0.00025,36.217864990234375
16,40960,2.0489743,20,2487,190,0.2,0.002639059,0.9803654551506042,0.00869140625,-0.007633090019226074,-1.4050083369016648,27.11042672395706,-0.0016022895768401213,0.00025,12.547603607177734
17,43008,-3.8407505,21,2487,200,0.2,0.0025364705,0.9810416102409363,0.003515625,0.05690491199493408,-1.3996991470456124,64.78322811126709,-0.0002880701722460799,0.00025,57.9492073059082
18,45056,0.63309157,22,2485,210,0.2,0.0057791583,0.9819121956825256,0.049560546875,0.04417741298675537,-1.400060100108385,80.62479394674301,-0.005278055998496711,0.00025,56.143707275390625
18,47104,-2.8562906,23,2484,220,0.2,0.0007972165,0.9819737076759338,0.00048828125,0.000385284423828125,-1.400907213240862,28.60795328617096,-0.0009305353596573696,0.00025,13.599000930786133
19,49152,-0.26919523,24,2484,230,0.2,0.0023694648,0.9820594787597656,0.00693359375,0.04391932487487793,-1.4014947555959225,67.1666454911232,-8.65570327732712e-06,0.00025,76.40845489501953
20,51200,6.5247993,25,2484,240,0.2,0.0002121492,0.9814602732658386,9.765625e-05,0.03901416063308716,-1.4010481402277946,76.0585086941719,0.0002758911141427234,0.00025,23.437589645385742
